Sno,Branch,Value (in Cr),Zone,State,lat,lon,country
553,Nayagarh,5.165166288,Ganjam,Odisha,20.113859,85.094964,ind
554,Nayagarh_Urban,9.861373417,Ganjam,Odisha,20.113859,85.094964,ind
555,Ghorasahan,10.03896713,Motihari,Bihar,26.820557,85.125815,ind
556,Madhuban,9.829329649,Motihari,Bihar,26.43850542,85.13510096,ind
557,Kanke,7.427350667,Ranchi,Jharkhand,23.55729792,85.1415,ind
558,Saraiya,4.317396415,Motihari,Bihar,26.03434185,85.14584029,ind
559,Khamar,4.951695739,Khurda,Odisha,21.2650029,85.180336,ind
560,Pallahara,8.515754349,Khurda,Odisha,21.4363,85.189643,ind
561,Kantillo,3.059179635,Ganjam,Odisha,20.360831,85.191103,ind
562,Islampur,5.374812806,Patna,Bihar,25.15073763,85.20404016,ind
563,Balugaon,10.09746102,Khurda,Odisha,19.748832,85.206925,ind
564,Gambharimunda,5.779491426,Khurda,Odisha,19.84594425,85.20866416,ind
565,Barkagaon,4.900181727,Ranchi,Jharkhand,23.8543428,85.216601,ind
566,Fatehpur(Bh),8.954526441,Patna,Bihar,24.61589612,85.21829203,ind
567,Itkhori,9.868255722,Tilaiya,Jharkhand,24.35959,85.22397,ind
568,Talcher,3.19868075,Khurda,Odisha,20.947892,85.23634,ind
569,Krushnaprasad,8.854252893,Khurda,Odisha,19.637325,85.263795,ind
570,Khunti,11.9690371,Ranchi,Jharkhand,23.0797595,85.2774207,ind
571,Hilsa,12.39877904,Patna,Bihar,25.3188918,85.2832333,ind
572,Nachuni,9.225176268,Khurda,Odisha,19.839168,85.295736,ind
573,Fatuah,11.04307407,Patna,Bihar,25.50994671,85.30023858,ind
574,Banarpal,9.643257039,Khurda,Odisha,20.803533,85.306744,ind
575,Parjanga,6.99944818,Khurda,Odisha,20.920966,85.315336,ind
576,Minapur,5.115691738,Motihari,Bihar,26.26676459,85.32974577,ind
577,Goraul,6.518819525,Motihari,Bihar,25.93567223,85.33163051,ind
578,Sunakhala,10.21594324,Khurda,Odisha,20.177181,85.332114,ind
579,Bidupur,6.729014429,Samastipur,Bihar,25.645474,85.3342,ind
580,Khajuriakata,5.919709976,Khurda,Odisha,20.715268,85.3357765,ind
581,Badamba,3.827822532,Khurda,Odisha,20.4198294,85.34065787,ind
582,Barhi(jh),5.806401161,Tilaiya,Jharkhand,24.33743,85.36525,ind
583,Mahua,8.56525426,Samastipur,Bihar,25.80420111,85.39098731,ind
584,Tangi,6.232400339,Khurda,Odisha,19.930018,85.398595,ind
585,Chandapur,5.100165786,Ganjam,Odisha,19.93337844,85.40128308,ind
586,Muzzaffarpur,8.168471336,Motihari,Bihar,26.11864584,85.40244909,ind
587,Riga,6.441179267,Motihari,Bihar,26.65857954,85.43212608,ind
588,Joda,5.925855858,Bhadrak,Odisha,22.031526,85.43245,ind
589,Begunia,11.22360338,Khurda,Odisha,20.202371,85.447245,ind
590,Sitamarhi,3.04323634,Motihari,Bihar,26.590305,85.49838,ind
591,Bihar Sharif,4.088031892,Patna,Bihar,25.19365388,85.51189965,ind
592,Ramgarh,7.361348414,Ranchi,Jharkhand,23.614385,85.515536,ind
593,Tilaiya,10.64837736,Tilaiya,Jharkhand,24.4242,85.51894,ind
594,Banki,4.405337739,Khurda,Odisha,20.376754,85.527427,ind
595,Nirakarpur,7.018934288,Khurda,Odisha,19.988847,85.530419,ind
596,Patepur,5.992843611,Samastipur,Bihar,25.827325,85.531286,ind
597,Kamakhyanagar,10.76670741,Khurda,Odisha,20.9228602,85.5560635,ind
598,Sakra,6.900821985,Samastipur,Bihar,25.972543,85.56462,ind
599,Dhenkanal,7.591649443,Khurda,Odisha,20.630745,85.594261,ind
600,Shah Patori,3.671796329,Samastipur,Bihar,25.63112,85.5946004,ind
601,Keonjhar,9.37429119,Bhadrak,Odisha,21.651115,85.607611,ind
602,Khurda-1,11.5574712,Khurda,Odisha,20.175442,85.619669,ind
603,Khurda-2,7.323991645,Khurda,Odisha,20.175442,85.619669,ind
604,Athagarh,7.247730484,Khurda,Odisha,20.517744,85.632293,ind
605,Champua,9.626480528,Bhadrak,Odisha,22.055139,85.660923,ind
606,Pupri,9.423949541,Motihari,Bihar,26.47260548,85.6839459,ind
607,Dumchanch,5.805039196,Tilaiya,Jharkhand,24.46965,85.69973,ind
